INFO       2022-08-25 10:48:03,787: Listening while loop started
INFO       2022-08-25 10:48:31,084: Sending topic 'field' as :variables={'currentTimestep': 20, 'currentTime': 20.0, 'totalTimestepsRun': 25, 'versions': 2, 'sent_time_ns': 38911068, 'recv_time_ns': 38911084, 'latency': 16}
INFO       2022-08-25 10:48:31,224: Sending topic 'field' as :variables={'currentTimestep': 21, 'currentTime': 21.0, 'totalTimestepsRun': 26, 'versions': 2, 'sent_time_ns': 38911212, 'recv_time_ns': 38911224, 'latency': 12}
INFO       2022-08-25 10:48:31,352: Sending topic 'field' as :variables={'currentTimestep': 22, 'currentTime': 22.0, 'totalTimestepsRun': 27, 'versions': 2, 'sent_time_ns': 38911336, 'recv_time_ns': 38911352, 'latency': 16}
INFO       2022-08-25 10:48:31,512: Sending topic 'field' as :variables={'currentTimestep': 23, 'currentTime': 23.0, 'totalTimestepsRun': 28, 'versions': 2, 'sent_time_ns': 38911496, 'recv_time_ns': 38911512, 'latency': 16}
INFO       2022-08-25 10:48:31,680: Sending topic 'field' as :variables={'currentTimestep': 24, 'currentTime': 24.0, 'totalTimestepsRun': 29, 'versions': 2, 'sent_time_ns': 38911664, 'recv_time_ns': 38911680, 'latency': 16}
INFO       2022-08-25 10:48:31,856: Sending topic 'field' as :variables={'currentTimestep': 25, 'currentTime': 25.0, 'totalTimestepsRun': 30, 'versions': 2, 'sent_time_ns': 38911840, 'recv_time_ns': 38911856, 'latency': 16}
INFO       2022-08-25 10:48:31,996: Sending topic 'field' as :variables={'currentTimestep': 26, 'currentTime': 26.0, 'totalTimestepsRun': 31, 'versions': 2, 'sent_time_ns': 38911980, 'recv_time_ns': 38911996, 'latency': 16}
INFO       2022-08-25 10:48:32,120: Sending topic 'field' as :variables={'currentTimestep': 27, 'currentTime': 27.0, 'totalTimestepsRun': 32, 'versions': 2, 'sent_time_ns': 38912104, 'recv_time_ns': 38912120, 'latency': 16}
INFO       2022-08-25 10:48:32,291: Sending topic 'field' as :variables={'currentTimestep': 28, 'currentTime': 28.0, 'totalTimestepsRun': 33, 'versions': 2, 'sent_time_ns': 38912259, 'recv_time_ns': 38912291, 'latency': 32}
INFO       2022-08-25 10:48:32,445: Sending topic 'field' as :variables={'currentTimestep': 29, 'currentTime': 29.0, 'totalTimestepsRun': 34, 'versions': 2, 'sent_time_ns': 38912430, 'recv_time_ns': 38912445, 'latency': 15}
INFO       2022-08-25 10:48:32,612: Sending topic 'field' as :variables={'currentTimestep': 30, 'currentTime': 30.0, 'totalTimestepsRun': 35, 'versions': 2, 'sent_time_ns': 38912596, 'recv_time_ns': 38912612, 'latency': 16}
INFO       2022-08-25 10:48:32,768: Sending topic 'field' as :variables={'currentTimestep': 31, 'currentTime': 31.0, 'totalTimestepsRun': 36, 'versions': 2, 'sent_time_ns': 38912752, 'recv_time_ns': 38912768, 'latency': 16}
INFO       2022-08-25 10:48:32,909: Sending topic 'field' as :variables={'currentTimestep': 32, 'currentTime': 32.0, 'totalTimestepsRun': 37, 'versions': 2, 'sent_time_ns': 38912893, 'recv_time_ns': 38912909, 'latency': 16}
INFO       2022-08-25 10:48:33,065: Sending topic 'field' as :variables={'currentTimestep': 33, 'currentTime': 33.0, 'totalTimestepsRun': 38, 'versions': 2, 'sent_time_ns': 38913050, 'recv_time_ns': 38913065, 'latency': 15}
INFO       2022-08-25 10:48:33,240: Sending topic 'field' as :variables={'currentTimestep': 34, 'currentTime': 34.0, 'totalTimestepsRun': 39, 'versions': 2, 'sent_time_ns': 38913223, 'recv_time_ns': 38913240, 'latency': 17}
INFO       2022-08-25 10:48:33,397: Sending topic 'field' as :variables={'currentTimestep': 35, 'currentTime': 35.0, 'totalTimestepsRun': 40, 'versions': 2, 'sent_time_ns': 38913381, 'recv_time_ns': 38913397, 'latency': 16}
INFO       2022-08-25 10:48:33,537: Sending topic 'field' as :variables={'currentTimestep': 36, 'currentTime': 36.0, 'totalTimestepsRun': 41, 'versions': 2, 'sent_time_ns': 38913525, 'recv_time_ns': 38913537, 'latency': 12}
INFO       2022-08-25 10:48:33,681: Sending topic 'field' as :variables={'currentTimestep': 37, 'currentTime': 37.0, 'totalTimestepsRun': 42, 'versions': 2, 'sent_time_ns': 38913665, 'recv_time_ns': 38913681, 'latency': 16}
INFO       2022-08-25 10:48:33,813: Sending topic 'field' as :variables={'currentTimestep': 38, 'currentTime': 38.0, 'totalTimestepsRun': 43, 'versions': 2, 'sent_time_ns': 38913797, 'recv_time_ns': 38913813, 'latency': 16}
INFO       2022-08-25 10:48:33,969: Sending topic 'field' as :variables={'currentTimestep': 39, 'currentTime': 39.0, 'totalTimestepsRun': 44, 'versions': 2, 'sent_time_ns': 38913957, 'recv_time_ns': 38913969, 'latency': 12}
INFO       2022-08-25 10:48:34,142: Sending topic 'field' as :variables={'currentTimestep': 40, 'currentTime': 40.0, 'totalTimestepsRun': 45, 'versions': 2, 'sent_time_ns': 38914125, 'recv_time_ns': 38914142, 'latency': 17}
INFO       2022-08-25 10:48:34,317: Sending topic 'field' as :variables={'currentTimestep': 41, 'currentTime': 41.0, 'totalTimestepsRun': 46, 'versions': 2, 'sent_time_ns': 38914301, 'recv_time_ns': 38914317, 'latency': 16}
INFO       2022-08-25 10:48:34,472: Sending topic 'field' as :variables={'currentTimestep': 42, 'currentTime': 42.0, 'totalTimestepsRun': 47, 'versions': 2, 'sent_time_ns': 38914456, 'recv_time_ns': 38914472, 'latency': 16}
INFO       2022-08-25 10:48:34,630: Sending topic 'field' as :variables={'currentTimestep': 43, 'currentTime': 43.0, 'totalTimestepsRun': 48, 'versions': 2, 'sent_time_ns': 38914614, 'recv_time_ns': 38914630, 'latency': 16}
INFO       2022-08-25 10:48:34,818: Sending topic 'field' as :variables={'currentTimestep': 44, 'currentTime': 44.0, 'totalTimestepsRun': 49, 'versions': 2, 'sent_time_ns': 38914786, 'recv_time_ns': 38914818, 'latency': 32}
INFO       2022-08-25 10:48:34,990: Sending topic 'field' as :variables={'currentTimestep': 45, 'currentTime': 45.0, 'totalTimestepsRun': 50, 'versions': 2, 'sent_time_ns': 38914958, 'recv_time_ns': 38914990, 'latency': 32}
INFO       2022-08-25 10:48:35,127: Sending topic 'field' as :variables={'currentTimestep': 46, 'currentTime': 46.0, 'totalTimestepsRun': 51, 'versions': 2, 'sent_time_ns': 38915111, 'recv_time_ns': 38915127, 'latency': 16}
INFO       2022-08-25 10:48:35,284: Sending topic 'field' as :variables={'currentTimestep': 47, 'currentTime': 47.0, 'totalTimestepsRun': 52, 'versions': 2, 'sent_time_ns': 38915268, 'recv_time_ns': 38915284, 'latency': 16}
INFO       2022-08-25 10:48:35,440: Sending topic 'field' as :variables={'currentTimestep': 48, 'currentTime': 48.0, 'totalTimestepsRun': 53, 'versions': 2, 'sent_time_ns': 38915424, 'recv_time_ns': 38915440, 'latency': 16}
INFO       2022-08-25 10:48:35,576: Sending topic 'field' as :variables={'currentTimestep': 49, 'currentTime': 49.0, 'totalTimestepsRun': 54, 'versions': 2, 'sent_time_ns': 38915560, 'recv_time_ns': 38915576, 'latency': 16}
INFO       2022-08-25 10:48:35,700: Sending topic 'field' as :variables={'currentTimestep': 50, 'currentTime': 50.0, 'totalTimestepsRun': 55, 'versions': 2, 'sent_time_ns': 38915684, 'recv_time_ns': 38915700, 'latency': 16}
INFO       2022-08-25 10:48:35,860: Sending topic 'field' as :variables={'currentTimestep': 51, 'currentTime': 51.0, 'totalTimestepsRun': 56, 'versions': 2, 'sent_time_ns': 38915844, 'recv_time_ns': 38915860, 'latency': 16}
INFO       2022-08-25 10:48:36,007: Sending topic 'field' as :variables={'currentTimestep': 52, 'currentTime': 52.0, 'totalTimestepsRun': 57, 'versions': 2, 'sent_time_ns': 38915991, 'recv_time_ns': 38916007, 'latency': 16}
INFO       2022-08-25 10:48:36,139: Sending topic 'field' as :variables={'currentTimestep': 53, 'currentTime': 53.0, 'totalTimestepsRun': 58, 'versions': 2, 'sent_time_ns': 38916123, 'recv_time_ns': 38916139, 'latency': 16}
INFO       2022-08-25 10:48:36,308: Sending topic 'field' as :variables={'currentTimestep': 54, 'currentTime': 54.0, 'totalTimestepsRun': 59, 'versions': 2, 'sent_time_ns': 38916295, 'recv_time_ns': 38916308, 'latency': 13}
INFO       2022-08-25 10:48:36,456: Sending topic 'field' as :variables={'currentTimestep': 55, 'currentTime': 55.0, 'totalTimestepsRun': 60, 'versions': 2, 'sent_time_ns': 38916440, 'recv_time_ns': 38916456, 'latency': 16}
INFO       2022-08-25 10:48:36,632: Sending topic 'field' as :variables={'currentTimestep': 56, 'currentTime': 56.0, 'totalTimestepsRun': 61, 'versions': 2, 'sent_time_ns': 38916616, 'recv_time_ns': 38916632, 'latency': 16}
INFO       2022-08-25 10:48:36,840: Sending topic 'field' as :variables={'currentTimestep': 57, 'currentTime': 57.0, 'totalTimestepsRun': 62, 'versions': 2, 'sent_time_ns': 38916824, 'recv_time_ns': 38916840, 'latency': 16}
INFO       2022-08-25 10:48:37,016: Sending topic 'field' as :variables={'currentTimestep': 58, 'currentTime': 58.0, 'totalTimestepsRun': 63, 'versions': 2, 'sent_time_ns': 38917000, 'recv_time_ns': 38917016, 'latency': 16}
INFO       2022-08-25 10:48:37,192: Sending topic 'field' as :variables={'currentTimestep': 59, 'currentTime': 59.0, 'totalTimestepsRun': 64, 'versions': 2, 'sent_time_ns': 38917176, 'recv_time_ns': 38917192, 'latency': 16}
INFO       2022-08-25 10:48:37,364: Sending topic 'field' as :variables={'currentTimestep': 60, 'currentTime': 60.0, 'totalTimestepsRun': 65, 'versions': 2, 'sent_time_ns': 38917348, 'recv_time_ns': 38917364, 'latency': 16}
INFO       2022-08-25 10:48:37,548: Sending topic 'field' as :variables={'currentTimestep': 61, 'currentTime': 61.0, 'totalTimestepsRun': 66, 'versions': 2, 'sent_time_ns': 38917536, 'recv_time_ns': 38917548, 'latency': 12}
INFO       2022-08-25 10:48:37,736: Sending topic 'field' as :variables={'currentTimestep': 62, 'currentTime': 62.0, 'totalTimestepsRun': 67, 'versions': 2, 'sent_time_ns': 38917704, 'recv_time_ns': 38917736, 'latency': 32}
INFO       2022-08-25 10:48:37,924: Sending topic 'field' as :variables={'currentTimestep': 63, 'currentTime': 63.0, 'totalTimestepsRun': 68, 'versions': 2, 'sent_time_ns': 38917908, 'recv_time_ns': 38917924, 'latency': 16}
INFO       2022-08-25 10:48:38,108: Sending topic 'field' as :variables={'currentTimestep': 64, 'currentTime': 64.0, 'totalTimestepsRun': 69, 'versions': 2, 'sent_time_ns': 38918092, 'recv_time_ns': 38918108, 'latency': 16}
INFO       2022-08-25 10:48:38,268: Sending topic 'field' as :variables={'currentTimestep': 65, 'currentTime': 65.0, 'totalTimestepsRun': 70, 'versions': 2, 'sent_time_ns': 38918252, 'recv_time_ns': 38918268, 'latency': 16}
INFO       2022-08-25 10:48:38,460: Sending topic 'field' as :variables={'currentTimestep': 66, 'currentTime': 66.0, 'totalTimestepsRun': 71, 'versions': 2, 'sent_time_ns': 38918444, 'recv_time_ns': 38918460, 'latency': 16}
INFO       2022-08-25 10:48:38,608: Sending topic 'field' as :variables={'currentTimestep': 67, 'currentTime': 67.0, 'totalTimestepsRun': 72, 'versions': 2, 'sent_time_ns': 38918596, 'recv_time_ns': 38918608, 'latency': 12}
INFO       2022-08-25 10:48:38,807: Sending topic 'field' as :variables={'currentTimestep': 68, 'currentTime': 68.0, 'totalTimestepsRun': 73, 'versions': 2, 'sent_time_ns': 38918791, 'recv_time_ns': 38918807, 'latency': 16}
INFO       2022-08-25 10:48:38,968: Sending topic 'field' as :variables={'currentTimestep': 69, 'currentTime': 69.0, 'totalTimestepsRun': 74, 'versions': 2, 'sent_time_ns': 38918952, 'recv_time_ns': 38918968, 'latency': 16}
INFO       2022-08-25 10:48:39,128: Sending topic 'field' as :variables={'currentTimestep': 70, 'currentTime': 70.0, 'totalTimestepsRun': 75, 'versions': 2, 'sent_time_ns': 38919112, 'recv_time_ns': 38919128, 'latency': 16}
INFO       2022-08-25 10:48:39,312: Sending topic 'field' as :variables={'currentTimestep': 71, 'currentTime': 71.0, 'totalTimestepsRun': 76, 'versions': 2, 'sent_time_ns': 38919296, 'recv_time_ns': 38919312, 'latency': 16}
