,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'1.38',36307193.1090515,5.349135961299599,5.349135961299599,224.3858442688231,224.3858442688231,4566.154509738029,70.52772271590335,,,,
'1.39',36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786,,,,
'1.40',35935539.53126402,5.342597192813384,5.342597192813384,235.0722533974295,235.0722533974295,5030.956419340075,70.82941161995274,,,,
'1.41',35792387.744114056,5.345656529037832,5.345656529037832,240.41790992646733,240.41790992646733,5271.374329266542,70.94561474124404,,,,
'1.42',35678546.46947134,5.35314167719086,5.35314167719086,245.77105160365818,245.77105160365818,5517.145380870201,71.03802512401771,,,,
'1.43',35594536.38375895,5.365192416671534,5.365192416671534,251.1362440203297,251.1362440203297,5768.28162489053,71.106220110431,,,,
'1.44',35540789.5566522,5.381937702398248,5.381937702398248,256.51818172272795,256.51818172272795,6024.799806613258,71.14984896895699,,,,
'1.45',35517658.52251212,5.403496792702362,5.403496792702362,261.9216785154303,261.9216785154303,6286.721485128688,71.16862553067016,,,,
'1.46',35525425.027064174,5.429980359265261,5.429980359265261,267.35165887469554,267.35165887469554,6554.073144003383,71.16232108915085,,,,
'1.47',35564308.35591163,5.461491564162798,5.461491564162798,272.8131504388583,272.8131504388583,6826.886294442242,71.13075763983437,,,,
'1.48',35634473.167644784,5.498127091011729,5.498127091011729,278.31127752987004,278.31127752987004,7105.197571972112,71.07380152150337,,,,
'1.49',35736036.76883084,5.53997811897015,5.53997811897015,283.8512556488402,283.8512556488402,7389.048827620953,70.99135751083209,,,,
'1.50',35869075.780947484,5.587131229905103,5.587131229905103,289.4383868787453,289.4383868787453,7678.487214499698,70.88336341051905,,,,
'1.51',36033632.16032504,5.639669240390946,5.639669240390946,295.07805611913625,295.07805611913625,7973.565270618834,70.74978516261329,,,,
'1.52',36229718.54141149,5.69767195133538,5.69767195133538,300.77572807047164,300.77572807047164,8274.340998689306,70.59061251113191,,,,
'1.53',36457322.88124059,5.761216808946851,5.761216808946851,306.5369448794185,306.5369448794185,8580.877943568725,70.40585523192392,,,,
