INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-04-12 14:51:03,908: topic='drag' sending data='{"drag": 1405983.834658426}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 1405983.834658426}'
INFO       2022-04-12 14:51:03,908: topic='field_update' sending data='{"currentTimestep": 8}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 8}'
DEBUG      2022-04-12 14:51:03,908: Timestep:     7-{'drag': 1405983.834658426}
INFO       2022-04-12 14:51:03,972: topic='drag' sending data='{"drag": 1780275.5691828388}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 1780275.5691828388}'
INFO       2022-04-12 14:51:03,972: topic='field_update' sending data='{"currentTimestep": 9}' as format_msg_with_header(msgToSend)=b'47   field_update             {"currentTimestep": 9}'
DEBUG      2022-04-12 14:51:03,972: Timestep:     8-{'drag': 1780275.5691828388}
INFO       2022-04-12 14:51:04,035: topic='drag' sending data='{"drag": 2196210.348340471}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 2196210.348340471}'
INFO       2022-04-12 14:51:04,035: topic='field_update' sending data='{"currentTimestep": 10}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 10}'
DEBUG      2022-04-12 14:51:04,035: Timestep:     9-{'drag': 2196210.348340471}
INFO       2022-04-12 14:51:04,129: topic='drag' sending data='{"drag": 2652181.3488092422}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 2652181.3488092422}'
INFO       2022-04-12 14:51:04,129: topic='field_update' sending data='{"currentTimestep": 11}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 11}'
DEBUG      2022-04-12 14:51:04,129: Timestep:    10-{'drag': 2652181.3488092422}
INFO       2022-04-12 14:51:04,240: topic='drag' sending data='{"drag": 3146297.8364813365}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 3146297.8364813365}'
INFO       2022-04-12 14:51:04,240: topic='field_update' sending data='{"currentTimestep": 12}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 12}'
DEBUG      2022-04-12 14:51:04,240: Timestep:    11-{'drag': 3146297.8364813365}
INFO       2022-04-12 14:51:04,285: topic='drag' sending data='{"drag": 3676406.573490233}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 3676406.573490233}'
