INFO       2022-07-30 22:12:49,591: topic='field' sending data='{"currentTimestep": 25}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 25}'
INFO       2022-07-30 22:12:50,094: Sending topic 'field' as :variables={'currentTimestep': 26}
INFO       2022-07-30 22:12:50,094: topic='field' sending data='{"currentTimestep": 26}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 26}'
INFO       2022-07-30 22:12:50,507: Sending topic 'field' as :variables={'currentTimestep': 27}
INFO       2022-07-30 22:12:50,508: topic='field' sending data='{"currentTimestep": 27}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 27}'
INFO       2022-07-30 22:12:50,965: Sending topic 'field' as :variables={'currentTimestep': 28}
INFO       2022-07-30 22:12:50,965: topic='field' sending data='{"currentTimestep": 28}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 28}'
INFO       2022-07-30 22:12:51,389: Sending topic 'field' as :variables={'currentTimestep': 29}
INFO       2022-07-30 22:12:51,389: topic='field' sending data='{"currentTimestep": 29}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 29}'
INFO       2022-07-30 22:12:51,889: Sending topic 'field' as :variables={'currentTimestep': 30}
INFO       2022-07-30 22:12:51,889: topic='field' sending data='{"currentTimestep": 30}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 30}'
INFO       2022-07-30 22:12:52,277: Sending topic 'field' as :variables={'currentTimestep': 31}
INFO       2022-07-30 22:12:52,277: topic='field' sending data='{"currentTimestep": 31}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 31}'
INFO       2022-07-30 22:12:52,793: Sending topic 'field' as :variables={'currentTimestep': 32}
INFO       2022-07-30 22:12:52,793: topic='field' sending data='{"currentTimestep": 32}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 32}'
INFO       2022-07-30 22:12:53,291: Sending topic 'field' as :variables={'currentTimestep': 33}
INFO       2022-07-30 22:12:53,291: topic='field' sending data='{"currentTimestep": 33}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 33}'
INFO       2022-07-30 22:12:53,695: Sending topic 'field' as :variables={'currentTimestep': 34}
INFO       2022-07-30 22:12:53,695: topic='field' sending data='{"currentTimestep": 34}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 34}'
INFO       2022-07-30 22:12:54,184: Sending topic 'field' as :variables={'currentTimestep': 35}
INFO       2022-07-30 22:12:54,184: topic='field' sending data='{"currentTimestep": 35}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 35}'
INFO       2022-07-30 22:12:54,688: Sending topic 'field' as :variables={'currentTimestep': 36}
INFO       2022-07-30 22:12:54,689: topic='field' sending data='{"currentTimestep": 36}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 36}'
INFO       2022-07-30 22:12:55,181: Sending topic 'field' as :variables={'currentTimestep': 37}
INFO       2022-07-30 22:12:55,182: topic='field' sending data='{"currentTimestep": 37}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 37}'
INFO       2022-07-30 22:12:55,586: Sending topic 'field' as :variables={'currentTimestep': 38}
INFO       2022-07-30 22:12:55,587: topic='field' sending data='{"currentTimestep": 38}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 38}'
INFO       2022-07-30 22:12:55,981: Sending topic 'field' as :variables={'currentTimestep': 39}
INFO       2022-07-30 22:12:55,981: topic='field' sending data='{"currentTimestep": 39}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 39}'
INFO       2022-07-30 22:12:56,483: Sending topic 'field' as :variables={'currentTimestep': 40}
INFO       2022-07-30 22:12:56,485: topic='field' sending data='{"currentTimestep": 40}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 40}'
INFO       2022-07-30 22:12:57,089: Sending topic 'field' as :variables={'currentTimestep': 41}
INFO       2022-07-30 22:12:57,092: topic='field' sending data='{"currentTimestep": 41}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 41}'
INFO       2022-07-30 22:12:57,687: Sending topic 'field' as :variables={'currentTimestep': 42}
INFO       2022-07-30 22:12:57,689: topic='field' sending data='{"currentTimestep": 42}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 42}'
INFO       2022-07-30 22:12:58,184: Sending topic 'field' as :variables={'currentTimestep': 43}
INFO       2022-07-30 22:12:58,186: topic='field' sending data='{"currentTimestep": 43}' as format_msg_with_header(msgToSend)=b'48   field                    {"currentTimestep": 43}'
