INFO       2022-07-30 22:12:41,844: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-07-30 22:12:45,296: topic='field_update' sending data='{"currentTimestep": 15}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 15}'
DEBUG      2022-07-30 22:12:45,296: Timestep:    14-{'drag': 4834826.429714125}
INFO       2022-07-30 22:12:45,552: topic='drag' sending data='{"drag": 5457754.302172077}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 5457754.302172077}'
INFO       2022-07-30 22:12:45,552: topic='field_update' sending data='{"currentTimestep": 16}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 16}'
DEBUG      2022-07-30 22:12:45,552: Timestep:    15-{'drag': 5457754.302172077}
INFO       2022-07-30 22:12:45,804: topic='drag' sending data='{"drag": 6105968.785145606}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 6105968.785145606}'
INFO       2022-07-30 22:12:45,804: topic='field_update' sending data='{"currentTimestep": 17}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 17}'
DEBUG      2022-07-30 22:12:45,804: Timestep:    16-{'drag': 6105968.785145606}
INFO       2022-07-30 22:12:46,244: topic='drag' sending data='{"drag": 6776421.152425291}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 6776421.152425291}'
INFO       2022-07-30 22:12:46,244: topic='field_update' sending data='{"currentTimestep": 18}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 18}'
DEBUG      2022-07-30 22:12:46,244: Timestep:    17-{'drag': 6776421.152425291}
INFO       2022-07-30 22:12:46,745: topic='drag' sending data='{"drag": 7465977.653429087}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 7465977.653429087}'
INFO       2022-07-30 22:12:46,745: topic='field_update' sending data='{"currentTimestep": 19}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 19}'
DEBUG      2022-07-30 22:12:46,745: Timestep:    18-{'drag': 7465977.653429087}
INFO       2022-07-30 22:12:47,254: topic='drag' sending data='{"drag": 8171451.47514789}' as format_msg_with_header(msgToSend)=b'51   drag                     {"drag": 8171451.47514789}'
INFO       2022-07-30 22:12:47,254: topic='field_update' sending data='{"currentTimestep": 20}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 20}'
DEBUG      2022-07-30 22:12:47,254: Timestep:    19-{'drag': 8171451.47514789}
INFO       2022-07-30 22:12:47,728: topic='drag' sending data='{"drag": 8889633.76611934}' as format_msg_with_header(msgToSend)=b'51   drag                     {"drag": 8889633.76611934}'
INFO       2022-07-30 22:12:47,728: topic='field_update' sending data='{"currentTimestep": 21}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 21}'
DEBUG      2022-07-30 22:12:47,728: Timestep:    20-{'drag': 8889633.76611934}
INFO       2022-07-30 22:12:48,222: topic='drag' sending data='{"drag": 9617323.208385415}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 9617323.208385415}'
INFO       2022-07-30 22:12:48,222: topic='field_update' sending data='{"currentTimestep": 22}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 22}'
DEBUG      2022-07-30 22:12:48,222: Timestep:    21-{'drag': 9617323.208385415}
INFO       2022-07-30 22:12:48,729: topic='drag' sending data='{"drag": 10351353.691514004}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 10351353.691514004}'
INFO       2022-07-30 22:12:48,729: topic='field_update' sending data='{"currentTimestep": 23}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 23}'
DEBUG      2022-07-30 22:12:48,729: Timestep:    22-{'drag': 10351353.691514004}
INFO       2022-07-30 22:12:49,218: topic='drag' sending data='{"drag": 11088619.718663493}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 11088619.718663493}'
INFO       2022-07-30 22:12:49,218: topic='field_update' sending data='{"currentTimestep": 24}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 24}'
DEBUG      2022-07-30 22:12:49,218: Timestep:    23-{'drag': 11088619.718663493}
INFO       2022-07-30 22:12:49,537: topic='drag' sending data='{"drag": 11826099.255010616}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 11826099.255010616}'
INFO       2022-07-30 22:12:49,537: topic='field_update' sending data='{"currentTimestep": 25}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 25}'
DEBUG      2022-07-30 22:12:49,537: Timestep:    24-{'drag': 11826099.255010616}
INFO       2022-07-30 22:12:50,047: topic='drag' sending data='{"drag": 12560873.810445054}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 12560873.810445054}'
INFO       2022-07-30 22:12:50,047: topic='field_update' sending data='{"currentTimestep": 26}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 26}'
